Compiler ID,Compiler Name,-fsanitize=address Support,-fsanitize=address Error,-fno-omit-frame-pointer Support,-fno-omit-frame-pointer Error,-fsanitize-recover=address Support,-fsanitize-recover=address Error,-Wall -Wextra Support,-Wall -Wextra Error,-fsanitize-address-use-after-scope Support,-fsanitize-address-use-after-scope Error,All Flags Support,All Flags Error
cg346,gcc 3.4.6,0,"cc1: error: unrecognized command line option ""-fsanitize=address""",0,<source>:1:25: warning: no newline at end of file,0,"cc1: error: unrecognized command line option ""-fsanitize-recover=address""",0,<source>:1:25: warning: no newline at end of file,0,"cc1: error: unrecognized command line option ""-fsanitize=address""",0,"cc1: error: unrecognized command line option ""-fsanitize=address"""
cg404,gcc 4.0.4,0,"cc1: error: unrecognized command line option ""-fsanitize=address""",0,<source>:1:25: warning: no newline at end of file,0,"cc1: error: unrecognized command line option ""-fsanitize-recover=address""",0,<source>:1:25: warning: no newline at end of file,0,"cc1: error: unrecognized command line option ""-fsanitize=address""",0,"cc1: error: unrecognized command line option ""-fsanitize=address"""
cg412,gcc 4.1.2,0,"cc1: error: unrecognized command line option ""-fsanitize=address""",0,<source>:1:25: warning: no newline at end of file,0,"cc1: error: unrecognized command line option ""-fsanitize-recover=address""",0,<source>:1:25: warning: no newline at end of file,0,"cc1: error: unrecognized command line option ""-fsanitize=address""",0,"cc1: error: unrecognized command line option ""-fsanitize=address"""
cg447,gcc 4.4.7,0,"cc1: error: unrecognized command line option ""-fsanitize=address""",1,,0,"cc1: error: unrecognized command line option ""-fsanitize-recover=address""",1,,0,"cc1: error: unrecognized command line option ""-fsanitize=address""",0,"cc1: error: unrecognized command line option ""-fsanitize=address"""
cg453,gcc 4.5.3,0,"cc1: error: unrecognized command line option ""-fsanitize=address""",1,,0,"cc1: error: unrecognized command line option ""-fsanitize-recover=address""",1,,0,"cc1: error: unrecognized command line option ""-fsanitize=address""",0,"cc1: error: unrecognized command line option ""-fsanitize=address"""
cg464,gcc 4.6.4,0,cc1: error: unrecognized command line option '-fsanitize=address',1,,0,cc1: error: unrecognized command line option '-fsanitize-recover=address',1,,0,cc1: error: unrecognized command line option '-fsanitize=address',0,cc1: error: unrecognized command line option '-fsanitize=address'
cg471,gcc 4.7.1,0,gcc: error: unrecognized command line option '-fsanitize=address',1,,0,gcc: error: unrecognized command line option '-fsanitize-recover=address',1,,0,gcc: error: unrecognized command line option '-fsanitize=address',0,gcc: error: unrecognized command line option '-fsanitize=address'
cg472,gcc 4.7.2,0,gcc: error: unrecognized command line option '-fsanitize=address',1,,0,gcc: error: unrecognized command line option '-fsanitize-recover=address',1,,0,gcc: error: unrecognized command line option '-fsanitize=address',0,gcc: error: unrecognized command line option '-fsanitize=address'
cg473,gcc 4.7.3,0,gcc: error: unrecognized command line option '-fsanitize=address',1,,0,gcc: error: unrecognized command line option '-fsanitize-recover=address',1,,0,gcc: error: unrecognized command line option '-fsanitize=address',0,gcc: error: unrecognized command line option '-fsanitize=address'
cg474,gcc 4.7.4,0,gcc: error: unrecognized command line option '-fsanitize=address',1,,0,gcc: error: unrecognized command line option '-fsanitize-recover=address',1,,0,gcc: error: unrecognized command line option '-fsanitize=address',0,gcc: error: unrecognized command line option '-fsanitize=address'
