Version: 3.3
flag_name, options_present, sanitizer_present, notes
fsanitize=address, 0, 0, 
fno-omit-frame-pointer, 0, 0, 
fsanitize-recover, 0, 0, 
fsanitize-address-use-after-scope, 0, 0, Requires fsanitize=address to work properly
fsanitize=undefined, 0, 0, 
fno-sanitize-recover=all, 0, 0, 
fsanitize=float-divide-by-zero, 0, 0, Requires fsanitize=undefined to work properly
fsanitize=float-cast-overflow, 0, 0, Requires fsanitize=undefined to work properly
fno-sanitize=null, 0, 0, 
fno-sanitize=alignment, 0, 0, 
Wall, 0, 0, 
Wextra, 0, 0, 
